Date,Stock_symbol,sentiment_score
2019-06-05,NVDA,-0.3333333333333333
2019-06-06,GOOG,-0.14285714285714285
2019-06-06,INTC,-0.16666666666666666
2019-06-06,NVDA,0.0
2019-06-07,GOOG,0.0
2019-06-07,INTC,-0.2727272727272727
2019-06-08,GOOG,-1.0
2019-06-08,INTC,1.0
2019-06-08,NVDA,1.0
2019-06-10,GOOG,-0.6923076923076923
2019-06-10,INTC,-0.5
2019-06-10,NVDA,-1.0
2019-06-11,GOOG,-0.5
2019-06-11,INTC,-0.3333333333333333
2019-06-11,NVDA,-0.3333333333333333
2019-06-12,GOOG,-0.1111111111111111
2019-06-12,INTC,-0.2727272727272727
2019-06-12,NVDA,-1.0
2019-06-13,GOOG,-0.14285714285714285
2019-06-13,INTC,0.5
2019-06-13,NVDA,0.0
2019-06-14,GOOG,-1.0
2019-06-14,INTC,-0.8333333333333334
2019-06-14,NVDA,-1.0
2019-06-15,GOOG,-1.0
2019-06-15,INTC,-0.5
2019-06-16,GOOG,1.0
2019-06-17,GOOG,-0.1111111111111111
2019-06-17,INTC,-0.42857142857142855
2019-06-17,NVDA,0.3333333333333333
2019-06-18,GOOG,0.3333333333333333
2019-06-18,INTC,-0.14285714285714285
2019-06-18,NVDA,0.0
2019-06-19,GOOG,0.14285714285714285
2019-06-19,INTC,-0.7142857142857143
2019-06-20,GOOG,-0.3333333333333333
2019-06-20,INTC,-0.6666666666666666
2019-06-20,NVDA,-1.0
2019-06-21,GOOG,-0.6666666666666666
2019-06-21,INTC,-0.6666666666666666
2019-06-22,GOOG,1.0
2019-06-23,GOOG,-1.0
2019-06-23,INTC,-1.0
2019-06-24,GOOG,-0.75
2019-06-24,INTC,-1.0
2019-06-24,NVDA,1.0
2019-06-25,GOOG,-0.42857142857142855
2019-06-25,INTC,-1.0
2019-06-26,GOOG,-0.5
2019-06-26,INTC,-0.5
2019-06-26,NVDA,1.0
2019-06-27,GOOG,-0.25
2019-06-27,INTC,-0.8
2019-06-27,NVDA,-1.0
2019-06-28,GOOG,0.0
2019-06-28,INTC,0.0
2019-06-29,GOOG,1.0
2019-06-29,INTC,1.0
2019-06-30,INTC,-1.0
2019-07-01,GOOG,-0.7142857142857143
2019-07-01,INTC,0.0
2019-07-01,NVDA,-0.3333333333333333
2019-07-02,GOOG,-0.3333333333333333
2019-07-02,INTC,-0.6363636363636364
2019-07-02,NVDA,-1.0
2019-07-03,GOOG,-1.0
2019-07-03,INTC,-1.0
2019-07-04,INTC,0.3333333333333333
2019-07-05,GOOG,-0.5
2019-07-05,INTC,-0.7142857142857143
2019-07-05,NVDA,-1.0
2019-07-07,GOOG,1.0
2019-07-08,GOOG,-0.7142857142857143
2019-07-08,INTC,-0.6363636363636364
2019-07-08,NVDA,1.0
2019-07-09,GOOG,-0.4
2019-07-09,INTC,0.1111111111111111
2019-07-09,NVDA,-0.3333333333333333
2019-07-10,GOOG,0.5
2019-07-10,INTC,0.0
2019-07-11,GOOG,-0.38461538461538464
2019-07-11,INTC,-0.3333333333333333
2019-07-11,NVDA,0.3333333333333333
2019-07-12,GOOG,-0.3333333333333333
2019-07-12,INTC,0.25
2019-07-12,NVDA,0.5
2019-07-13,NVDA,1.0
2019-07-14,GOOG,1.0
2019-07-15,GOOG,-1.0
2019-07-15,INTC,0.3333333333333333
2019-07-16,GOOG,-0.3333333333333333
2019-07-16,INTC,-1.0
2019-07-16,NVDA,-1.0
2019-07-17,GOOG,-0.1111111111111111
2019-07-17,INTC,0.2
2019-07-18,GOOG,-0.3333333333333333
2019-07-18,INTC,-0.25
2019-07-19,GOOG,-0.2
2019-07-19,INTC,-0.2
2019-07-20,GOOG,1.0
2019-07-20,INTC,0.0
2019-07-21,GOOG,-0.6
2019-07-21,INTC,-1.0
